City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,acarau,-2.8856,-40.12,24.68,89,28,3.3,BR,1675658072
129,ust-kuyga,70.0167,135.6,-37.59,100,97,2.18,RU,1675658072
130,qaanaaq,77.484,-69.3632,-24.4,91,66,2.76,GL,1675658072
131,salalah,17.0151,54.0924,21.05,73,0,1.54,OM,1675657914
132,bahia blanca,-38.7196,-62.2724,24.05,62,1,0.89,AR,1675657820
133,avera,33.194,-82.5271,7.73,93,0,2.84,US,1675658073
134,puerto del rosario,28.5004,-13.8627,14.86,72,40,3.6,ES,1675658073
135,ternate,0.8,127.4,26.14,79,100,2.78,ID,1675658074
136,flinders,-34.5833,150.8552,27.81,70,0,5.69,AU,1675658074
137,castro,-24.7911,-50.0119,15.26,86,13,1.86,BR,1675658014
138,camopi,3.1655,-52.3158,21.71,100,100,0.24,GF,1675658075
139,makakilo city,21.3469,-158.0858,25.18,69,40,4.12,US,1675658075
140,ulladulla,-35.35,150.4667,25.05,61,4,3.62,AU,1675658075
141,kirakira,-10.4544,161.9205,26.21,89,100,9.64,SB,1675658075
142,pokaran,26.9167,71.9167,23.72,38,0,3.18,IN,1675658076
143,saint-pierre,-21.3393,55.4781,28.82,65,0,3.6,RE,1675658076
144,kruisfontein,-34.0033,24.7314,22.71,95,98,2.68,ZA,1675658076
145,coihaique,-45.5752,-72.0662,13.97,47,0,3.6,CL,1675657827
146,hilo,19.7297,-155.09,23.49,92,0,0.45,US,1675657953
147,bengkulu,-3.8004,102.2655,29.07,62,83,5.65,ID,1675658077
148,rawson,-43.3002,-65.1023,16.91,63,43,5.52,AR,1675658077
149,clyde river,70.4692,-68.5914,-29.87,69,0,2.57,CA,1675657990
150,vila franca do campo,37.7167,-25.4333,15.23,85,94,3.03,PT,1675658078
151,syava,58.0146,46.3222,-18.66,100,91,0.57,RU,1675658078
152,carnarvon,-24.8667,113.6333,28.68,59,0,8.5,AU,1675658078
153,alugan,12.2188,125.4808,26.98,84,54,4.94,PH,1675658079
154,royan,45.6285,-1.0281,2.66,83,22,6.34,FR,1675658079
155,russell,32.3502,-85.1999,11.57,93,0,0.0,US,1675658079
